Campaign              | code text, createdAt timestamp, expiresAt timestamp, metadata jsonb, trialDays integer
 CancelationOffer      | createdAt timestamp, metadata jsonb, promoCode text, redeemedAt timestamp, userId text
 Challenge             | createdAt timestamp, endDate text, id text, name text, startDate text
 ChatMessage           | createdAt timestamp, deletedAt timestamp, id integer, message text, parentId integer, updatedAt timestamp, userId text, videoId text
 Collection            | createdAt timestamp, createdBy text, description text, id text, isUnlisted boolean, metadata jsonb, modality ARRAY, name text, order integer, shortDescription text, slug text, status USER-DEFINED, strapiData jsonb, thumbnail text, tvOrder integer, updatedAt timestamp, visibility USER-DEFINED
 DeletedAccount        | deletedAt timestamp, email text, id text, initiatedBy USER-DEFINED, stripeCustomerId text
 Event                 | createdAt timestamp, ctaLink text, ctaText text, description text, endsAt timestamp, id integer, isPremiumOnly boolean, startsAt timestamp, tags ARRAY, title text
 FeaturedContent       | area USER-DEFINED, content jsonb, modality USER-DEFINED, type USER-DEFINED
 Gift                  | createdAt timestamp, durationMonths integer, email text, expiredEmailSent boolean, expiresAt timestamp, giftType USER-DEFINED, id integer, message text, productId text, recipientId text, redeemedAt timestamp, senderId text
 GlobalUser            | classUserId text, email text, id integer
 LivestreamIssue       | createdAt timestamp, metadata jsonb, type USER-DEFINED, videoId text
 MusicPlaylist         | createdAt timestamp, id integer, playlistId text, playlistType USER-DEFINED, strapiData jsonb, tracks jsonb, updatedAt timestamp, updatedBy text, videoId text
 News                  | createdAt timestamp, id integer, isPremiumOnly boolean, text text
 NotificationGroup     | description text, id integer, key text, sendgridGroupId integer, sendgridTemplate text, title text
 PinnedPosts           | createdAt timestamp, id integer, location USER-DEFINED, postId integer, postRoomId integer
 PortraitGallery       | category text, metadata jsonb, order integer, path text, tags ARRAY
 Post                  | createdAt timestamp, headline text, id integer, isDeleted boolean, isFlagged boolean, latestActivityAt timestamp, mediaPath text, mediaType USER-DEFINED, metadata jsonb, parentId integer, postRoomId integer, postType USER-DEFINED, text text, updatedAt timestamp, userId text, videoId text, visibility USER-DEFINED
 PostAudit             | action USER-DEFINED, id integer, metadata jsonb, postId integer, timestamp timestamp, userId text
 PostFlag              | createdAt timestamp, metadata jsonb, postId integer, updatedAt timestamp, userId text
 PostReactions         | createdAt timestamp, postId integer, reaction USER-DEFINED, userId text
 PostRoom              | id integer, isArchived boolean, manageRoles ARRAY, name text, order integer, slug text
 PostSpotlightGroup    | createdAt timestamp, id integer, name text, postIds ARRAY, updatedAt timestamp
 Product               | description text, iapProductIds ARRAY, id text, modality ARRAY, name text, shortDescription text, slug text, status USER-DEFINED, stripeProductId text, thumbnail text, trailerPlaybackId text, type USER-DEFINED
 Program               | createdAt timestamp, description text, id text, isUnlisted boolean, modality ARRAY, name text, order integer, shortDescription text, slug text, status USER-DEFINED, thumbnail text, tvOrder integer, updatedAt timestamp
